pincode,district_lgd_code,lat,lng
622404,582,10.333800,78.709975
622407,582,10.280300,78.536000
622409,582,10.302025,78.774100
622411,582,10.346800,78.681800
622412,582,10.346800,78.681800
622422,582,10.385967,78.874767
622501,582,10.467783,78.783600
622502,582,10.557142,78.693425
622503,582,10.459900,78.718600
622504,582,10.581278,78.815511
622505,582,10.231275,78.783700
622506,582,10.278520,78.826780
622507,582,10.256180,78.749980
622515,582,10.656400,78.696883
623115,583,9.249544,78.387711
623120,583,9.190100,78.427083
623135,583,9.118075,78.368300
623308,583,9.866100,78.936000
623315,583,9.866100,78.936000
623401,583,9.773567,78.738900
623402,585,9.623850,78.753150
623403,583,9.647400,78.958100
623404,583,9.440100,78.673300
623406,583,9.440100,78.673300
623407,583,9.563917,78.726667
623409,583,9.760375,79.037400
623501,583,9.440100,78.673300
623502,583,9.440100,78.673300
623503,583,9.440100,78.673300
623504,583,9.440100,78.673300
623512,583,9.288100,78.914300
623513,583,9.326100,78.854050
623514,583,9.477600,78.895600
623515,583,9.227167,78.728333
623516,583,9.308100,79.031700
623517,583,9.231800,78.785400
623518,583,9.275700,79.123600
623519,583,9.269100,79.107300
623520,583,9.425300,78.804300
623521,583,9.440100,78.673300
623522,583,9.375600,78.954000
623523,583,9.272600,78.902300
623524,583,9.425300,78.804300
623525,583,9.605589,78.806633
623526,583,9.440100,78.673300
623527,583,9.426885,78.693400
623528,583,9.223500,78.633900
623529,583,9.425300,78.804300
623530,583,9.511340,78.726540
623531,583,9.699200,78.981200
623532,583,9.440100,78.673300
623533,583,9.422267,78.679767
623534,583,9.462300,78.802850
623536,583,9.440100,78.673300
623537,583,9.529900,78.861600
623538,583,9.711214,78.836286
623566,583,9.439400,78.766600
623601,583,9.546200,78.434818
623603,583,9.435017,78.616350
623604,583,9.402867,78.346400
623605,583,9.501600,78.362900
623608,583,9.509330,78.565220
623701,583,9.633718,78.610036
623703,583,9.336109,78.480318
623704,583,9.642809,78.300791
623705,583,9.457060,78.687280
623706,583,9.442844,78.661556
623707,583,9.569600,78.439300
623708,583,9.357100,78.449400
623711,583,9.333420,78.597220
623712,583,9.421188,78.618687
623806,583,9.518600,78.597300
624001,572,10.331500,78.104800
624002,572,10.286518,78.033391
624003,572,10.389800,77.820000
624004,572,10.331500,78.104800
624005,572,10.391900,77.850771
624101,572,10.335435,77.686159
624103,572,10.310585,77.480615
624201,572,10.208200,78.255600
624202,572,10.322000,77.858006
624204,572,10.389800,77.820000
624206,572,10.407500,77.878800
624208,572,10.461200,77.778700
624210,572,10.279300,77.628500
624211,572,10.212300,77.760900
624212,572,10.383025,77.799931
624215,572,10.673311,78.061867
624216,572,10.296175,77.684200
624219,572,10.272200,78.135800
624220,572,10.094100,77.740600
624301,572,10.284800,77.923300
624302,572,10.277100,77.919500
624303,572,10.364233,77.852033
624304,572,10.279650,78.072200
624306,572,10.380618,78.053691
624307,572,10.306133,77.962700
624308,572,10.250500,78.120200
624401,572,10.252200,78.152110
624402,572,10.265583,78.310417
624403,572,10.297780,78.075180
624601,572,10.465600,77.768400
624610,572,10.419000,77.499200
624612,572,10.434900,77.789814
624613,572,10.503087,77.706088
624614,572,10.488008,77.862700
624615,572,10.389800,77.820000
624616,572,10.517238,77.742231
624617,572,10.528700,77.618636
624618,572,10.515612,77.484713
624619,572,10.422294,77.809700
624620,572,10.421718,77.841282
624621,572,10.291620,77.764380
624622,572,10.482710,77.817290
624701,572,10.287600,77.852000
624702,572,10.520167,78.046683
624703,572,10.508757,77.930600
624704,572,10.418467,77.822367
624705,572,10.369875,77.861225
624706,572,10.584087,78.055500
624707,572,10.403260,77.924480
624708,572,10.389800,77.820000
624709,572,10.478680,77.954480
624710,572,10.546407,77.920300
624711,572,10.601900,77.929800
624712,572,10.483725,77.968875
624801,572,10.360217,77.985833
624802,572,10.426400,77.965900
625001,578,9.991900,78.164700
625002,578,9.922387,78.020862
625003,578,9.918100,78.080700
625004,578,9.896100,78.081300
625005,578,9.869367,78.066433
625006,578,9.991900,78.164700
625007,578,9.974175,78.125100
625008,578,9.844400,78.016400
625009,578,9.890811,78.150289
625011,578,9.948500,78.161600
625012,578,9.900000,78.122200
